,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
12867,29959,792004,1,Action/Adventure,Hidden Side,2020,El Fuego,1.0,9.0,True,792004-1
12868,29988,792005,1,Action/Adventure,Hidden Side,2020,Possessed Biker,,,True,792005-1
12869,6870,810010,1,Miscellaneous,Gear,2008,Duplo Bedding Green - Baby,,,True,810010-1
12870,6872,810011,1,Miscellaneous,Gear,2008,Duplo Fitted Sheet Green - Baby,,,True,810011-1
12871,6871,810012,1,Miscellaneous,Gear,2008,Duplo Bedding Green - Junior,,,True,810012-1
12872,6873,810013,1,Miscellaneous,Gear,2008,Duplo Fitted Sheet Green - Junior,,,True,810013-1
12873,6874,810020,1,Miscellaneous,Gear,2008,Duplo Bedding Pink - Baby,,,True,810020-1
12874,6875,810021,1,Miscellaneous,Gear,2008,Duplo Fitted Sheet Pink - Baby,,,True,810021-1
12875,6876,810022,1,Miscellaneous,Gear,2008,Duplo Bedding Pink - Junior,,,True,810022-1
12876,6877,810023,1,Miscellaneous,Gear,2008,Duplo Fitted Sheet Pink - Junior,,,True,810023-1
12877,6878,810030,1,Miscellaneous,Gear,2008,LEGO Bedding Blue - Adult,,,True,810030-1
12878,6724,850150,1,Miscellaneous,Gear,2006,Santa Claus Classic Key Chain,,,True,850150-1
12879,6150,850152,1,Miscellaneous,Gear,2007,Blue Brick Key Chain,,,True,850152-1
12880,6151,850154,1,Miscellaneous,Gear,2007,Red Brick Key Chain,,,True,850154-1
12881,22646,850252,1,Miscellaneous,Gear,2003,Johnny Thunder,,,True,850252-1
12882,24521,850352,1,Miscellaneous,Gear,2003,Snowtrooper,,,False,
12883,346,850352,2,Miscellaneous,Gear,2004,Snowtrooper,,,False,
12884,24522,850352,3,Miscellaneous,Gear,2005,Snowtrooper,,,False,
12885,6689,850353,1,Miscellaneous,Gear,2008,Darth Vader,,,True,850353-1
12886,24523,850353,2,Miscellaneous,Gear,2005,Darth Vader,,,False,
12887,24524,850353,3,Miscellaneous,Gear,2008,Darth Vader,,,False,
12888,24525,850353,4,Miscellaneous,Gear,2012,Darth Vader,,,False,
12889,5072,850354,1,Miscellaneous,Gear,2005,Yoda,,,True,850354-1
12890,6077,850355,1,Miscellaneous,Gear,2007,Stormtrooper,,,True,850355-1
12891,24527,850355,2,Miscellaneous,Gear,2007,Stormtrooper,,,False,
12892,24528,850355,3,Miscellaneous,Gear,2008,Stormtrooper,,,False,
12893,24529,850356,1,Miscellaneous,Gear,2003,C-3PO,,,False,
12894,24530,850356,2,Miscellaneous,Gear,2004,C-3PO,,,False,
12895,6705,850373,1,Miscellaneous,Gear,2006,Lunchbox Black,,,True,850373-1
12896,6706,850374,1,Miscellaneous,Gear,2006,Lunchbox Blue,,,True,850374-1
12897,7037,850376,1,Miscellaneous,Gear,2006,Lunchbox Green,,,False,
12898,6707,850377,1,Miscellaneous,Gear,2006,Lunchbox Purple,,,True,850377-1
12899,10154,850414,1,Miscellaneous,Gear,2012,Zipper Pullers (Black),,,True,850414-1
12900,10155,850415,1,Miscellaneous,Gear,2012,Zipper Pullers (Aqua),,,True,850415-1
12901,9826,850416,1,Miscellaneous,Gear,2012,Pink Hippo Key Chain,,,True,850416-1
12902,9827,850417,1,Miscellaneous,Gear,2012,Monkey Key Chain,,,True,850417-1
