,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
8388,9931,10553,1,Pre-school,Duplo,2013,Toddler Build and Play Cubes,,17.0,True,10553-1
8389,9932,10554,1,Pre-school,Duplo,2013,Toddler Build and Pull Along,,15.0,True,10554-1
8390,10158,10555,1,Pre-school,Duplo,2013,Creative Bucket,,65.0,True,10555-1
8391,10291,10556,1,Pre-school,Duplo,2013,Creative Chest,2.0,106.0,True,10556-1
8392,10292,10557,1,Pre-school,Duplo,2013,Giant Tower,,200.0,True,10557-1
8393,10061,10558,1,Pre-school,Duplo,2013,Number Train,1.0,31.0,True,10558-1
8394,10293,10559,1,Pre-school,Duplo,2013,A Fairy Tale,,15.0,True,10559-1
8395,10294,10560,1,Pre-school,Duplo,2013,Peekaboo Jungle,,13.0,True,10560-1
8396,9933,10561,1,Pre-school,Duplo,2013,Toddler Starter Building Set,,37.0,True,10561-1
8397,23783,10565,1,Pre-school,Duplo,2014,Creative Suitcase,,135.0,True,10565-1
8398,23221,10566,1,Pre-school,Duplo,2014,Creative Picnic,,52.0,True,10566-1
8399,23245,10567,1,Pre-school,Duplo,2014,Toddler Build and Boat Fun,,18.0,True,10567-1
8400,23314,10568,1,Pre-school,Duplo,2014,Knight Tournament,1.0,16.0,True,10568-1
8401,23315,10569,1,Pre-school,Duplo,2014,Treasure Attack,3.0,46.0,True,10569-1
8402,23275,10570,1,Pre-school,Duplo,2014,All-in-One Gift Set,,30.0,True,10570-1
8403,23252,10571,1,Pre-school,Duplo,2014,All-in-One-Pink-Box-of-Fun,1.0,65.0,True,10571-1
8404,23247,10572,1,Pre-school,Duplo,2014,All-in-One-Box-of-Fun,1.0,65.0,True,10572-1
8405,23223,10573,1,Pre-school,Duplo,2014,Creative Animals,,25.0,True,10573-1
8406,23246,10574,1,Pre-school,Duplo,2014,Creative Ice Cream,,24.0,True,10574-1
8407,23248,10575,1,Pre-school,Duplo,2014,Creative Building Cube,,75.0,True,10575-1
8408,23278,10576,1,Pre-school,Duplo,2014,Zoo Care,1.0,9.0,True,10576-1
8409,23316,10577,1,Pre-school,Duplo,2014,Big Royal Castle,4.0,135.0,True,10577-1
8410,23405,10579,1,Pre-school,Duplo,2014,Clubhouse Cafe,,16.0,True,10579-1
8411,23317,10580,1,Pre-school,Duplo,2014,Deluxe Box of Fun,2.0,95.0,True,10580-1
8412,24076,10581,1,Pre-school,Duplo,2015,Forest: Ducks,1.0,13.0,True,10581-1
8413,24077,10582,1,Pre-school,Duplo,2015,Forest: Animals,2.0,39.0,True,10582-1
8414,24078,10583,1,Pre-school,Duplo,2015,Forest: Fishing Trip,2.0,32.0,True,10583-1
8415,24079,10584,1,Pre-school,Duplo,2015,Forest: Park,3.0,105.0,True,10584-1
8416,23989,10585,1,Pre-school,Duplo,2015,Mom and Baby,2.0,13.0,True,10585-1
8417,23990,10586,1,Pre-school,Duplo,2015,Ice Cream Truck,2.0,11.0,True,10586-1
8418,23991,10587,1,Pre-school,Duplo,2015,Café,3.0,52.0,True,10587-1
8419,24000,10589,1,Pre-school,Duplo,2015,Rally Car,1.0,13.0,True,10589-1
8420,23992,10590,1,Pre-school,Duplo,2015,Airport,3.0,29.0,True,10590-1
8421,24466,10591,1,Pre-school,Duplo,2015,Fire Boat,1.0,19.0,True,10591-1
8422,24483,10592,1,Pre-school,Duplo,2015,Fire Truck,1.0,26.0,True,10592-1
8423,24467,10593,1,Pre-school,Duplo,2015,Fire Station,2.0,105.0,True,10593-1
8424,23993,10594,1,Pre-school,Duplo,2015,Sofia the First Royal Stable,1.0,38.0,True,10594-1
8425,23994,10595,1,Pre-school,Duplo,2015,Sofia the First Royal Castle,2.0,87.0,True,10595-1
8426,23988,10596,1,Pre-school,Duplo,2015,Disney Princess Collection,3.0,63.0,True,10596-1
8427,24470,10597,1,Pre-school,Duplo,2015,Mickey & Minnie Birthday Parade,2.0,24.0,True,10597-1
8428,24471,10599,1,Pre-school,Duplo,2015,Batman Adventure,3.0,47.0,True,10599-1
8429,23995,10600,1,Pre-school,Duplo,2015,Classic Race,,29.0,True,10600-1
8430,24484,10601,1,Pre-school,Duplo,2015,Delivery Vehicle,1.0,19.0,True,10601-1
8431,24485,10602,1,Pre-school,Duplo,2015,Camping,3.0,38.0,True,10602-1
8432,24542,10603,1,Pre-school,Duplo,2015,My First Bus,1.0,17.0,True,10603-1
8433,24474,10604,1,Pre-school,Duplo,2015,Jake and the Never Land Pirates Treasure Island,2.0,25.0,True,10604-1
8434,24468,10605,1,Pre-school,Duplo,2015,Doc McStuffins Rosie the Ambulance,1.0,16.0,True,10605-1
8435,24469,10606,1,Pre-school,Duplo,2015,Doc McStuffins Backyard Clinic,1.0,39.0,True,10606-1
8436,24472,10607,1,Pre-school,Duplo,2015,Spider-Man Web-Bike Workshop,1.0,13.0,True,10607-1
8437,24473,10608,1,Pre-school,Duplo,2015,Spider-Man Spider Truck Adventure,2.0,28.0,True,10608-1
8438,23996,10615,1,Pre-school,Duplo,2015,My First Tractor,2.0,12.0,True,10615-1
8439,23997,10616,1,Pre-school,Duplo,2015,My First Playhouse,2.0,25.0,True,10616-1
8440,23998,10617,1,Pre-school,Duplo,2015,My First Farm,2.0,26.0,True,10617-1
8441,23999,10618,1,Pre-school,Duplo,2015,Creative Building Box,2.0,70.0,True,10618-1
8442,24555,10622,1,Pre-school,Duplo,2015,Large Creative Box,2.0,193.0,True,10622-1
8443,24970,10623,1,Pre-school,Duplo,2015,DUPLO Basic Bricks – Large,,60.0,True,10623-1
8444,26341,10654,1,Basic,Classic,2016,XL Creative Brick Box,,1600.0,True,10654-1
8445,9990,10655,1,Basic,Bricks and More,2013,LEGO Monster Trucks,3.0,197.0,True,10655-1
8446,9991,10656,1,Basic,Bricks and More,2013,My First LEGO Princess,1.0,88.0,True,10656-1
8447,9992,10657,1,Basic,Bricks and More,2013,My First LEGO Set,1.0,148.0,True,10657-1
8448,9934,10659,1,Basic,Bricks and More,2013,Suitcase,2.0,146.0,True,10659-1
8449,9935,10660,1,Basic,Bricks and More,2013,Pink Suitcase,2.0,151.0,True,10660-1
8450,9993,10661,1,Basic,Bricks and More,2013,My First LEGO Fire Station,1.0,90.0,True,10661-1
8451,10159,10662,1,Basic,Bricks and More,2013,LEGO Creative Bucket,,607.0,True,10662-1
8452,10295,10663,1,Basic,Bricks and More,2013,Creative Chest,3.0,609.0,True,10663-1
8453,10296,10664,1,Basic,Bricks and More,2013,Creative Tower,,1600.0,True,10664-1
8454,23069,10665,1,Junior,Juniors,2014,Spider-Man: Spider-Car Pursuit,2.0,55.0,True,10665-1
8455,23070,10666,1,Junior,Juniors,2014,Digger,1.0,75.0,True,10666-1
8456,23071,10667,1,Junior,Juniors,2014,Construction,1.0,160.0,True,10667-1
8457,23072,10668,1,Junior,Juniors,2014,The Princess Play Castle,1.0,150.0,True,10668-1
8458,23427,10669,1,Junior,Juniors,2014,Turtle Lair,2.0,107.0,True,10669-1
8459,23428,10671,1,Junior,Juniors,2014,Fire Emergency,2.0,123.0,True,10671-1
8460,23073,10672,1,Junior,Juniors,2014,Batman: Defend the Batcave,3.0,150.0,True,10672-1
8461,23074,10673,1,Junior,Juniors,2014,Race Car Rally,2.0,350.0,True,10673-1
8462,23075,10674,1,Junior,Juniors,2014,Pony Farm,1.0,306.0,True,10674-1
8463,23076,10675,1,Junior,Juniors,2014,Police – The Big Escape,3.0,146.0,True,10675-1
8464,23429,10676,1,Junior,Juniors,2014,Knights' Castle,4.0,480.0,True,10676-1
8465,24001,10677,1,Junior,Juniors,2015,Beach Trip,1.0,74.0,True,10677-1
8466,24002,10679,1,Junior,Juniors,2015,Pirate Treasure Hunt,2.0,57.0,True,10679-1
8467,24003,10680,1,Junior,Juniors,2015,Garbage Truck,2.0,99.0,True,10680-1
8468,23254,10681,1,Basic,Bricks and More,2014,Creative Building Cube,,600.0,True,10681-1
8469,23782,10682,1,Basic,Bricks and More,2014,Creative Suitcase,,1000.0,True,10682-1
8470,24486,10683,1,Junior,Juniors,2015,Road Work Truck,2.0,132.0,True,10683-1
8471,24004,10684,1,Junior,Juniors,2015,Supermarket Suitcase,2.0,134.0,True,10684-1
8472,24005,10685,1,Junior,Juniors,2015,Fire Suitcase,2.0,113.0,True,10685-1
8473,24487,10686,1,Junior,Juniors,2015,Family House,3.0,226.0,True,10686-1
8474,24346,10687,1,Junior,Juniors,2015,Spider-Man Hideout,3.0,137.0,True,10687-1
8475,23825,10692,1,Basic,Classic,2015,Creative Bricks,,221.0,True,10692-1
8476,23826,10693,1,Basic,Classic,2015,Creative Supplement,,303.0,True,10693-1
8477,23827,10694,1,Basic,Classic,2015,Creative Supplement Bright,,303.0,True,10694-1
8478,24137,10695,1,Basic,Classic,2015,Creative Building Box,,580.0,True,10695-1
8479,24050,10696,1,Basic,Classic,2015,Medium Creative Brick Box,,484.0,True,10696-1
8480,24508,10697,1,Basic,Classic,2015,XXXL Box,,1500.0,True,10697-1
8481,24138,10698,1,Basic,Classic,2015,Large Creative Brick Box,,790.0,True,10698-1
8482,24049,10699,1,Basic,Classic,2015,32x32 Sand Baseplate,,1.0,True,10699-1
8483,24015,10700,1,Basic,Classic,2015,32x32 Green Baseplate,,1.0,True,10700-1
8484,23935,10701,1,Basic,Classic,2015,48x48 Grey Baseplate,,1.0,True,10701-1
8485,24995,10702,1,Basic,Classic,2016,Creative Building Set,,583.0,True,10702-1
8486,26556,10703,1,Basic,Classic,2017,Creative Builder Box,,502.0,True,10703-1
8487,26773,10704,1,Basic,Classic,2017,Creative Box,,900.0,True,10704-1
8488,26210,10705,1,Basic,Classic,2016,Creative Building Basket,,1000.0,True,10705-1
8489,26557,10706,1,Basic,Classic,2017,Blue Creative Box,,78.0,True,10706-1
8490,26558,10707,1,Basic,Classic,2017,Red Creative Box,,55.0,True,10707-1
8491,26559,10708,1,Basic,Classic,2017,Green Creative Box,,66.0,True,10708-1
8492,26560,10709,1,Basic,Classic,2017,Orange Creative Box,,60.0,True,10709-1
8493,27664,10712,1,Basic,Classic,2018,Bricks and Gears,,244.0,True,10712-1
8494,27665,10713,1,Basic,Classic,2018,Creative Suitcase,,213.0,True,10713-1
8495,27666,10714,1,Basic,Classic,2018,Blue Baseplate,,1.0,True,10714-1
8496,27667,10715,1,Basic,Classic,2018,Bricks on a Roll,,442.0,True,10715-1
8497,28086,10717,1,Basic,Classic,2018,Extra Large Brick Box,,1500.0,True,10717-1
8498,24738,10720,1,Junior,Juniors,2016,Police Helicopter Chase,2.0,63.0,True,10720-1
8499,24739,10721,1,Junior,Juniors,2016,Iron Man vs. Loki,2.0,66.0,True,10721-1
8500,24740,10722,1,Junior,Juniors,2016,Snake Showdown,2.0,92.0,True,10722-1
8501,24741,10723,1,Junior,Juniors,2016,Ariel's Dolphin Carriage,1.0,70.0,True,10723-1
8502,26028,10724,1,Junior,Juniors,2016,Batman & Superman vs. Lex Luthor,3.0,164.0,True,10724-1
8503,24742,10725,1,Junior,Juniors,2016,Lost Temple,3.0,172.0,True,10725-1
8504,25942,10726,1,Junior,Juniors,2016,Stephanie's Horse Carriage,1.0,58.0,True,10726-1
8505,25943,10727,1,Junior,Juniors,2016,Emma's Ice Cream Truck,2.0,136.0,True,10727-1
8506,25944,10728,1,Junior,Juniors,2016,Mia's Vet Clinic,2.0,173.0,True,10728-1
8507,24743,10729,1,Junior,Juniors,2016,Cinderella's Carriage,2.0,116.0,True,10729-1
8508,26764,10730,1,Junior,Juniors,2017,Lightning McQueen Speed Launcher,1.0,47.0,True,10730-1
8509,26765,10731,1,Junior,Juniors,2017,Cruz Ramirez Race Simulator,1.0,59.0,True,10731-1
8510,26766,10732,1,Junior,Juniors,2017,Guido and Luigi's Pit Stop,2.0,75.0,True,10732-1
8511,26767,10733,1,Junior,Juniors,2017,Mater's Junkyard,1.0,62.0,True,10733-1
8512,26561,10734,1,Junior,Juniors,2017,Demolition Site,3.0,175.0,True,10734-1
8513,26562,10735,1,Junior,Juniors,2017,Police Truck Chase,2.0,90.0,True,10735-1
8514,26563,10736,1,Junior,Juniors,2017,Anna and Elsa's Frozen Playground,2.0,94.0,True,10736-1
8515,26564,10737,1,Junior,Juniors,2017,Batman vs. Mr. Freeze,2.0,63.0,True,10737-1
8516,26768,10738,1,Junior,Juniors,2017,Snow White's Forest Cottage,1.0,67.0,True,10738-1
8517,26769,10739,1,Junior,Juniors,2017,Shark Attack,3.0,108.0,True,10739-1
8518,26565,10740,1,Junior,Juniors,2017,Fire Patrol Suitcase,2.0,110.0,True,10740-1
8519,26770,10742,1,Junior,Juniors,2017,Willy's Butte Speed Training,2.0,95.0,True,10742-1
8520,26771,10743,1,Junior,Juniors,2017,Smokey's Garage,3.0,116.0,True,10743-1
8521,26772,10744,1,Junior,Juniors,2017,Thunder Hollow Crazy 8 Race,4.0,191.0,True,10744-1
8522,26651,10745,1,Junior,Juniors,2017,Florida 500 Final Race,5.0,266.0,True,10745-1
8523,26566,10746,1,Junior,Juniors,2017,Mia's Farm Suitcase,1.0,100.0,True,10746-1
8524,26567,10747,1,Junior,Juniors,2017,Andrea and Stephanie's Beach Holiday,2.0,143.0,True,10747-1
8525,27627,10748,1,Junior,Juniors,2018,Emma's Pet Party,1.0,67.0,True,10748-1
8526,27628,10749,1,Junior,Juniors,2018,Mia's Organic Food Market,1.0,115.0,True,10749-1
8527,27629,10750,1,Junior,Juniors,2018,Road Repair Truck,1.0,73.0,True,10750-1
8528,27630,10751,1,Junior,Juniors,2018,Mountain Police Chase,2.0,115.0,True,10751-1
8529,27422,10753,1,Junior,Juniors,2018,The Joker Batcave Attack,3.0,151.0,True,10753-1
8530,27421,10754,1,Junior,Juniors,2018,Spider-Man vs. Scorpion Street Showdown,2.0,125.0,True,10754-1
8531,27420,10755,1,Junior,Juniors,2018,Zane's Ninja Boat Pursuit,2.0,131.0,True,10755-1
8532,27471,10756,1,Junior,Juniors,2018,Pteranodon Escape,2.0,84.0,True,10756-1
8533,27472,10757,1,Junior,Juniors,2018,Raptor Rescue Truck,2.0,85.0,True,10757-1
8534,27473,10758,1,Junior,Juniors,2018,T. Rex Breakout,3.0,150.0,True,10758-1
8535,27451,10759,1,Junior,Juniors,2018,Elastigirl's Rooftop Pursuit,2.0,95.0,True,10759-1
8536,27452,10760,1,Junior,Juniors,2018,Underminer's Bank Heist,3.0,149.0,True,10760-1
8537,27453,10761,1,Junior,Juniors,2018,The Great Home Escape,4.0,178.0,True,10761-1
8538,27920,10762,1,Junior,Juniors,2018,Belle's Story Time,2.0,87.0,True,10762-1
8539,27921,10763,1,Junior,Juniors,2018,Stephanie's Lakeside House,3.0,215.0,True,10763-1
8540,27922,10764,1,Junior,Juniors,2018,City Central Airport,5.0,376.0,True,10764-1
8541,27923,10765,1,Junior,Juniors,2018,Ariel's Underwater Concert,1.0,92.0,True,10765-1
8542,28939,10766,1,Licensed,Toy Story,2019,Woody & RC,1.0,69.0,True,10766-1
8543,28940,10767,1,Licensed,Toy Story,2019,Duke Caboom's Stunt Show,2.0,120.0,True,10767-1
8544,28941,10768,1,Licensed,Toy Story,2019,Buzz and Bo Peep's Playground Adventure,3.0,139.0,True,10768-1
8545,28942,10769,1,Licensed,Toy Story,2019,RV Vacation,3.0,178.0,True,10769-1
8546,28943,10770,1,Licensed,Toy Story,2019,Buzz & Woody's Carnival Mania!,5.0,230.0,True,10770-1
8547,29102,10771,1,Licensed,Toy Story,2019,Carnival Thrill Coaster,2.0,98.0,True,10771-1
8548,24707,10801,1,Pre-school,Duplo,2016,Baby Animals,,13.0,True,10801-1
8549,24708,10802,1,Pre-school,Duplo,2016,Savanna,1.0,18.0,True,10802-1
8550,24709,10803,1,Pre-school,Duplo,2016,Arctic,2.0,40.0,True,10803-1
8551,25656,10804,1,Pre-school,Duplo,2016,Jungle,2.0,86.0,True,10804-1
8552,25874,10805,1,Pre-school,Duplo,2016,Around the World,5.0,163.0,True,10805-1
8553,24710,10806,1,Pre-school,Duplo,2016,Horses,1.0,20.0,True,10806-1
8554,24711,10807,1,Pre-school,Duplo,2016,Horse Trailer,2.0,15.0,True,10807-1
8555,24712,10808,1,Pre-school,Duplo,2016,Little Plane,1.0,13.0,True,10808-1
8556,24713,10809,1,Pre-school,Duplo,2016,Police Patrol,2.0,15.0,True,10809-1
8557,26071,10810,1,Pre-school,Duplo,2016,Push Train,2.0,45.0,True,10810-1
8558,26073,10811,1,Pre-school,Duplo,2016,Backhoe Loader,1.0,19.0,True,10811-1
8559,26072,10812,1,Pre-school,Duplo,2016,Truck & Tracked Excavator,2.0,28.0,True,10812-1
8560,26070,10813,1,Pre-school,Duplo,2016,Big Construction Site,3.0,67.0,True,10813-1
8561,24714,10814,1,Pre-school,Duplo,2016,Tow Truck,2.0,28.0,True,10814-1
8562,24891,10815,1,Pre-school,Duplo,2016,My First Rocket,,18.0,True,10815-1
8563,24715,10816,1,Pre-school,Duplo,2016,My First Cars and Trucks,,36.0,True,10816-1
8564,24716,10817,1,Pre-school,Duplo,2016,Creative Chest,,70.0,True,10817-1
8565,24717,10818,1,Pre-school,Duplo,2016,My First Truck,2.0,29.0,True,10818-1
8566,24718,10819,1,Pre-school,Duplo,2016,My First Garden,2.0,25.0,True,10819-1
8567,26237,10820,1,Pre-school,Duplo,2016,Creative Construction Basket,2.0,110.0,True,10820-1
8568,24892,10822,1,Pre-school,Duplo,2016,Sofia the First Magical Carriage,1.0,30.0,True,10822-1
8569,24893,10823,1,Pre-school,Duplo,2017,Batwing Adventure,2.0,28.0,True,10823-1
8570,25654,10824,1,Pre-school,Duplo,2016,Miles' Space Adventures,1.0,23.0,True,10824-1
8571,26068,10825,1,Pre-school,Duplo,2016,Miles' Exo-Flex Suit,1.0,37.0,True,10825-1
8572,25655,10826,1,Pre-school,Duplo,2016,Miles' Stellosphere Hangar,1.0,44.0,True,10826-1
8573,26069,10827,1,Pre-school,Duplo,2016,Mickey & Friends Beach House,3.0,48.0,True,10827-1
8574,26067,10828,1,Pre-school,Duplo,2016,Doc McStuffins' Pet Vet Care,1.0,30.0,True,10828-1
8575,24719,10829,1,Pre-school,Duplo,2016,Mickey's Workshop,1.0,18.0,True,10829-1
8576,24720,10830,1,Pre-school,Duplo,2016,Minnie's Café,1.0,27.0,True,10830-1
8577,24721,10831,1,Pre-school,Duplo,2016,My First Caterpillar,,19.0,True,10831-1
8578,26587,10832,1,Pre-school,Duplo,2017,Birthday Party,3.0,19.0,True,10832-1
8579,26588,10833,1,Pre-school,Duplo,2017,Nursery School,3.0,39.0,True,10833-1
8580,26589,10834,1,Pre-school,Duplo,2017,Pizzeria,3.0,57.0,True,10834-1
8581,26590,10835,1,Pre-school,Duplo,2017,Family House,3.0,69.0,True,10835-1
8582,26591,10836,1,Pre-school,Duplo,2017,Neighborhood,5.0,98.0,True,10836-1
8583,26774,10837,1,Pre-school,Duplo,2017,Santa's Winter Holiday,3.0,45.0,True,10837-1
8584,26592,10838,1,Pre-school,Duplo,2017,Pets,,15.0,True,10838-1
8585,26775,10839,1,Pre-school,Duplo,2017,Shooting Gallery,2.0,32.0,True,10839-1
8586,26776,10840,1,Pre-school,Duplo,2017,Big Fair,5.0,106.0,True,10840-1
8587,26777,10841,1,Pre-school,Duplo,2017,Fun Family Fair,4.0,61.0,True,10841-1
8588,26781,10842,1,Pre-school,Duplo,2017,Batcave Challenge,4.0,73.0,True,10842-1
8589,27162,10843,1,Pre-school,Duplo,2017,Mickey Racer,1.0,15.0,True,10843-1
8590,26779,10844,1,Pre-school,Duplo,2017,Minnie Mouse Bow-tique,2.0,70.0,True,10844-1
8591,26593,10845,1,Pre-school,Duplo,2017,My First Carousel,3.0,24.0,True,10845-1
8592,26782,10846,1,Pre-school,Duplo,2017,Flo's Café,3.0,28.0,True,10846-1
8593,26594,10847,1,Pre-school,Duplo,2017,My First Number Train,2.0,23.0,True,10847-1
8594,26595,10848,1,Pre-school,Duplo,2017,My First Building Blocks,,80.0,True,10848-1
8595,26596,10849,1,Pre-school,Duplo,2017,My First Plane,,10.0,True,10849-1
8596,26597,10850,1,Pre-school,Duplo,2017,My First Birthday Cake,,8.0,True,10850-1
8597,26598,10851,1,Pre-school,Duplo,2017,My First Bus,,6.0,True,10851-1
8598,26599,10852,1,Pre-school,Duplo,2017,My First Parrot,,7.0,True,10852-1
8599,26600,10853,1,Pre-school,Duplo,2017,Abundant Wildlife Creative Building Set,,75.0,True,10853-1
8600,26780,10854,1,Pre-school,Duplo,2017,Creative Box,1.0,120.0,True,10854-1
8601,26601,10855,1,Pre-school,Duplo,2017,Cinderella's Magical Castle,2.0,56.0,True,10855-1
8602,26783,10856,1,Pre-school,Duplo,2017,Mater's Shed,1.0,23.0,True,10856-1
8603,26784,10857,1,Pre-school,Duplo,2017,Piston Cup Race,3.0,31.0,True,10857-1
8604,27715,10858,1,Pre-school,Duplo,2018,My First Puzzle Pets,,18.0,True,10858-1
8605,27714,10859,1,Pre-school,Duplo,2018,My First Ladybird,,6.0,True,10859-1
8606,27713,10860,1,Pre-school,Duplo,2018,My First Race Car,,6.0,True,10860-1
8607,27712,10861,1,Pre-school,Duplo,2018,My First Emotions,,28.0,True,10861-1
8608,27711,10862,1,Pre-school,Duplo,2018,My First Celebration,,41.0,True,10862-1
8609,27710,10863,1,Pre-school,Duplo,2018,My First Animal Brick Box,,34.0,True,10863-1
8610,27709,10864,1,Pre-school,Duplo,2018,Large Playground Brick Box,2.0,71.0,True,10864-1
8611,27708,10865,1,Pre-school,Duplo,2018,Fun Creations,,70.0,True,10865-1
8612,27707,10867,1,Pre-school,Duplo,2018,Farmers' Market,3.0,26.0,True,10867-1
8613,27706,10868,1,Pre-school,Duplo,2018,Farm Pony Stable,2.0,59.0,True,10868-1
8614,27705,10869,1,Pre-school,Duplo,2018,Farm Adventures,3.0,104.0,True,10869-1
8615,27704,10870,1,Pre-school,Duplo,2018,Farm Animals,,16.0,True,10870-1
8616,27703,10871,1,Pre-school,Duplo,2018,Airport,3.0,29.0,True,10871-1
8617,27924,10872,1,Pre-school,Duplo,2018,Train Bridge and Tracks,1.0,26.0,True,10872-1
8618,27925,10873,1,Pre-school,Duplo,2018,Minnie's Birthday Party,1.0,21.0,True,10873-1
8619,27926,10874,1,Pre-school,Duplo,2018,Steam Train,2.0,59.0,True,10874-1
8620,27909,10875,1,Pre-school,Duplo,2018,Cargo Train,3.0,105.0,True,10875-1
8621,27702,10876,1,Pre-school,Duplo,2018,Spider-Man & Hulk Adventures,3.0,38.0,True,10876-1
8622,27701,10877,1,Pre-school,Duplo,2018,Belle's Tea Party,1.0,19.0,True,10877-1
8623,27700,10878,1,Pre-school,Duplo,2018,Rapunzel's Tower,1.0,37.0,True,10878-1
8624,27469,10879,1,Pre-school,Duplo,2018,Gentle Giants Petting Zoo,1.0,24.0,True,10879-1
8625,27470,10880,1,Pre-school,Duplo,2018,T. rex Tower,1.0,22.0,True,10880-1
8626,27927,10881,1,Pre-school,Duplo,2018,Mickey's Boat,2.0,28.0,True,10881-1
8627,27928,10882,1,Pre-school,Duplo,2018,Train Tracks,,23.0,True,10882-1
8628,28517,10883,1,Pre-school,Duplo,2019,My First Tow Truck,,11.0,True,10883-1
8629,28516,10884,1,Pre-school,Duplo,2019,My First Balancing Animals,,15.0,True,10884-1
8630,28515,10885,1,Pre-school,Duplo,2019,My First Fun Puzzle,,,True,10885-1
8631,28514,10886,1,Pre-school,Duplo,2019,My First Car Creations,,34.0,True,10886-1
8632,28926,10887,1,Pre-school,Duplo,2019,Creative Fun,1.0,120.0,True,10887-1
8633,29263,10889,1,Pre-school,Duplo,2019,Mickey's Vacation House,3.0,57.0,True,10889-1
8634,28416,10893,1,Pre-school,Duplo,2019,Spider-Man vs. Electro,2.0,29.0,True,10893-1
8635,28960,10894,1,Pre-school,Duplo,2019,Toy Story Train,2.0,21.0,True,10894-1
8636,28450,10895,1,Pre-school,Duplo,2019,Emmet and Lucy's Visitors from the DUPLO Planet,2.0,53.0,True,10895-1
8637,28513,10897,1,Pre-school,Duplo,2019,My First Minnie Build,,10.0,True,10897-1
8638,28512,10898,1,Pre-school,Duplo,2019,My First Mickey Build,,9.0,True,10898-1
8639,29359,10899,1,Pre-school,Duplo,2019,Frozen Ice Castle,3.0,59.0,True,10899-1
8640,28511,10900,1,Pre-school,Duplo,2019,Police Bike,1.0,8.0,True,10900-1
8641,28510,10901,1,Pre-school,Duplo,2019,Fire Truck,2.0,21.0,True,10901-1
8642,28509,10902,1,Pre-school,Duplo,2019,Police Station,3.0,38.0,True,10902-1
8643,28508,10903,1,Pre-school,Duplo,2019,Fire Station,2.0,76.0,True,10903-1
8644,29264,10904,1,Pre-school,Duplo,2019,Baby Animals,,9.0,True,10904-1
8645,29265,10906,1,Pre-school,Duplo,2019,Tropical Island,3.0,73.0,True,10906-1
8646,29266,10907,1,Pre-school,Duplo,2019,World Animals,6.0,121.0,True,10907-1
8647,28507,10908,1,Pre-school,Duplo,2019,Plane,1.0,12.0,True,10908-1
8648,29752,10909,1,Pre-school,Duplo,2020,Heart Box,,80.0,True,10909-1
8649,29267,10910,1,Pre-school,Duplo,2019,Submarine Adventure,2.0,24.0,True,10910-1
8650,29753,10913,1,Pre-school,Duplo,2020,Brick Box,2.0,65.0,True,10913-1
8651,29754,10914,1,Pre-school,Duplo,2020,Deluxe Brick Box,,85.0,True,10914-1
8652,29755,10915,1,Pre-school,Duplo,2020,Alphabet Truck,2.0,36.0,True,10915-1
8653,29756,10917,1,Pre-school,Duplo,2020,Fire Truck,,6.0,True,10917-1
8654,29757,10918,1,Pre-school,Duplo,2020,Tow Truck,,7.0,True,10918-1
8655,29758,10920,1,Pre-school,Duplo,2020,Elsa and Olaf's Tea Party,2.0,17.0,True,10920-1
8656,29750,10921,1,Pre-school,Duplo,2020,Super Heroes Lab,3.0,30.0,True,10921-1
8657,29759,10925,1,Pre-school,Duplo,2020,Playroom,2.0,17.0,True,10925-1
8658,29760,10926,1,Pre-school,Duplo,2020,Bedroom,2.0,16.0,True,10926-1
8659,29761,10927,1,Pre-school,Duplo,2020,Pizza Stand,1.0,18.0,True,10927-1
8660,29762,10928,1,Pre-school,Duplo,2020,Bakery,2.0,46.0,True,10928-1
8661,29763,10929,1,Pre-school,Duplo,2020,Modular Playhouse,3.0,129.0,True,10929-1
8662,29764,10934,1,Pre-school,Duplo,2020,Creative Animals,,175.0,True,10934-1
8663,10054,10937,1,Licensed,DC Comics Super Heroes,2013,Batman: Arkham Asylum Breakout,8.0,1619.0,True,10937-1
8664,26650,10952,1,Pre-school,Duplo,2017,{?},,,False,
8665,28506,11001,1,Basic,Classic,2019,Bricks and Ideas,,123.0,True,11001-1
8666,28505,11002,1,Basic,Classic,2019,Basic Brick Set ,,300.0,True,11002-1
8667,28504,11003,1,Basic,Classic,2019,Bricks and Eyes ,,451.0,True,11003-1
8668,29268,11004,1,Basic,Classic,2019,Windows of Creativity,,450.0,True,11004-1
8669,28603,11005,1,Basic,Classic,2019,Creative Fun,,900.0,True,11005-1
8670,29765,11006,1,Basic,Classic,2020,Creative Blue Bricks,,52.0,True,11006-1
8671,29766,11007,1,Basic,Classic,2020,Creative Green Bricks,,60.0,True,11007-1
8672,29767,11008,1,Basic,Classic,2020,Bricks and Houses,,270.0,True,11008-1
8673,29854,11009,1,Basic,Classic,2020,Bricks and Lights,,441.0,True,11009-1
8674,29751,11010,1,Basic,Classic,2020,White Baseplate,,1.0,True,11010-1
8675,29916,11011,1,Basic,Classic,2020,Bricks and Animals,,1500.0,True,11011-1
8676,23225,11900,1,Modern day,City,2013,Brickmaster City parts,,,True,11900-1
8677,23226,11901,1,Action/Adventure,Ninjago,2013,Brickmaster Ninjago parts,,,False,
